SORTER,mother,father,telo.change,telo0ln,year,sex,hatch.order,clutchsize,median.hatch.date,maternal.age,growth.rate,days.between,mass.at.first.measure,age.at.first.measure,paternal.age,mass.at.first.measurement,age.at.first.measurement
375,GSBZ,RXFP,NA,-1.32802545299591,2011,NA,1,3,4,3,NA,NA,29,0,3,29,0
241,YDAL,RNJP,NA,-0.653926467406664,2011,NA,3,3,0,10,NA,NA,45,0,15,45,0
299,BLTL,RJTH,NA,-0.610645959048202,2011,1,3,3,16,2,NA,NA,46.5,2,3,46.5,2
376,GSBZ,RXFP,NA,-0.517514611916787,2011,1,3,3,6,3,NA,NA,38,0,3,38,0
394,GSPU,BNLI,NA,-0.492658319810542,2011,2,2,3,10,3,NA,NA,28,0,2,28,0
353,GSHS,WLNP,NA,-0.463624022281697,2011,2,4,4,7,3,NA,NA,29.5,0,8,29.5,0
305,RHBA,GHSF,NA,-0.378336440719912,2011,2,2,4,1,8,NA,NA,41.5,0,10,41.5,0
244,RLJA,RHXJ,NA,-0.360969868221613,2011,2,2,3,2,8,54.4444444444444,26,40,1,NA,NA,NA
317,RHAZ,RLIZ,NA,-0.29169009384932,2011,1,2,3,11,15,NA,NA,32.5,0,11,32.5,0
338,RIFL,RDUT,NA,-0.29169009384932,2011,2,1,3,0,14,55.5555555555556,28,43,0,14,43,0
49,WFFL,RICT,NA,-0.278392025544688,2010,2,3,3,-5,10,NA,26,55.8,1,12,55.8,1
314,RLHA,WDPA,NA,-0.27312192112045097,2011,1,4,4,1,3,NA,NA,28,0,11,28,0
266,RNDD,RLNZ,NA,-0.267879445155601,2011,1,1,3,-6,15,NA,NA,50.5,1,15,50.5,1
50,RNDD,RLNZ,NA,-0.253602758798918,2010,2,1,3,-7,14,NA,30,NA,0,14,NA,0
304,RHBA,GHSF,NA,-0.233193887167711,2011,2,1,4,-1,8,NA,NA,53,2,10,53,2
387,GSJJ,RPFP,NA,-0.214431610712188,2011,1,3,4,7,3,NA,NA,41,1,3,41,1
